Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,6.010000,6.980000,5.510000,6.930000,6.922627,6896200
2020-05-05,7.450000,7.600000,6.670000,6.830000,6.822734,6936700
2020-05-06,6.820000,7.160000,6.290000,6.380000,6.373213,6169700
2020-05-07,6.770000,6.980000,6.540000,6.750000,6.742819,4893600
2020-05-08,6.990000,7.660000,6.890000,7.610000,7.601904,5985600
2020-05-11,7.520000,8.040000,7.460000,7.800000,7.791702,6552800
2020-05-12,7.960000,8.160000,7.690000,7.820000,7.811681,5245800
2020-05-13,7.820000,7.820000,7.010000,7.340000,7.332191,5327100
2020-05-14,7.140000,7.390000,6.750000,6.850000,6.842713,5728500
2020-05-15,6.910000,7.500000,6.720000,7.220000,7.212319,5834700
2020-05-18,8.010000,8.450000,7.630000,8.380000,8.371085,7689800
2020-05-19,8.460000,8.550000,7.850000,7.860000,7.851638,4155600
2020-05-20,8.200000,8.290000,7.870000,8.200000,8.191277,4904800
2020-05-21,8.290000,8.660000,8.020000,8.420000,8.411042,5452300
2020-05-22,8.260000,8.430000,7.950000,8.380000,8.371085,4087800
2020-05-26,8.850000,8.850000,8.470000,8.590000,8.580862,4205800
2020-05-27,8.600000,8.820000,8.210000,8.630000,8.620819,4974400
2020-05-28,8.550000,8.600000,8.030000,8.100000,8.091383,3948500
2020-05-29,7.990000,8.080000,7.640000,7.840000,7.831660,4804000
2020-06-01,7.770000,8.400000,7.680000,8.230000,8.221244,4076600
2020-06-02,8.370000,8.750000,8.300000,8.720000,8.710724,3767800
2020-06-03,8.760000,8.960000,8.310000,8.540000,8.530915,5229200
2020-06-04,8.370000,9.020000,8.320000,8.850000,8.840586,3424400
2020-06-05,9.350000,11.060000,9.320000,11.050000,11.038245,7928900
2020-06-08,11.890000,12.770000,11.550000,12.210000,12.197011,7442200
2020-06-09,10.990000,11.360000,10.480000,11.040000,11.028255,5261900
2020-06-10,10.640000,10.900000,9.540000,9.550000,9.539841,6592500
2020-06-11,8.600000,9.280000,8.150000,8.510000,8.500947,5222500
2020-06-12,9.360000,9.630000,8.770000,9.570000,9.559819,5657700
2020-06-15,9.020000,10.660000,8.850000,10.210000,10.199139,6447600
2020-06-16,11.110000,11.110000,10.130000,10.550000,10.538776,4525800
2020-06-17,10.490000,10.600000,9.920000,9.940000,9.929425,3563600
2020-06-18,9.790000,10.740000,9.620000,10.080000,10.069277,4477000
2020-06-19,10.490000,10.600000,10.070000,10.210000,10.199139,22156900
2020-06-22,10.200000,10.510000,10.000000,10.300000,10.289042,2893300
2020-06-23,10.510000,10.580000,10.000000,10.100000,10.089255,3170400
2020-06-24,9.770000,9.890000,8.550000,8.660000,8.650787,5839400
2020-06-25,8.500000,9.140000,8.350000,8.710000,8.700734,6623400
2020-06-26,8.470000,8.580000,7.870000,7.900000,7.891596,4258100
2020-06-29,8.000000,8.500000,7.720000,8.340000,8.331128,3826200
2020-06-30,8.170000,8.560000,8.040000,8.500000,8.490957,3412100
2020-07-01,8.510000,8.690000,8.030000,8.170000,8.161308,3974200
2020-07-02,8.520000,8.620000,7.880000,7.980000,7.971511,2821600
2020-07-06,8.170000,8.190000,7.780000,8.030000,8.021458,3358400
2020-07-07,7.860000,7.890000,7.410000,7.410000,7.402117,3441300
2020-07-08,7.460000,7.970000,7.280000,7.890000,7.881606,3541000
2020-07-09,7.870000,7.910000,7.280000,7.330000,7.322202,2746900
2020-07-10,7.300000,7.720000,7.230000,7.720000,7.711787,2973600
2020-07-13,7.860000,8.260000,7.520000,7.760000,7.751745,3265300
2020-07-14,8.080000,8.560000,7.850000,8.550000,8.540904,4812400
2020-07-15,8.820000,8.940000,8.190000,8.890000,8.880543,3917300
2020-07-16,8.800000,9.200000,8.580000,8.960000,8.950468,3200800
2020-07-17,8.980000,9.250000,8.620000,8.660000,8.650787,2282000
2020-07-20,8.820000,9.160000,8.690000,8.700000,8.690744,3636100
2020-07-21,8.990000,9.910000,8.930000,9.570000,9.559819,5966400
2020-07-22,9.710000,9.740000,9.220000,9.590000,9.579798,3180600
2020-07-23,9.190000,9.300000,8.680000,9.270000,9.260139,4957500
2020-07-24,9.240000,9.490000,9.010000,9.030000,9.020393,2617700
2020-07-27,9.160000,9.300000,8.870000,9.130000,9.120287,3026000
2020-07-28,9.030000,9.370000,8.970000,9.020000,9.010405,3978700
2020-07-29,9.000000,9.460000,8.620000,9.310000,9.300097,6199800
2020-07-30,8.910000,9.120000,8.590000,8.930000,8.920501,3576700
2020-07-31,8.810000,8.820000,8.320000,8.680000,8.670766,3993600
2020-08-03,8.590000,8.710000,8.380000,8.610000,8.600841,2823600
2020-08-04,8.530000,8.950000,8.510000,8.930000,8.920501,2123800
2020-08-05,9.200000,9.490000,9.080000,9.440000,9.429957,3039100
2020-08-06,9.350000,9.350000,8.900000,9.000000,8.990425,3224200
2020-08-07,8.900000,9.270000,8.720000,9.200000,9.190212,2228200
2020-08-10,9.370000,10.000000,9.320000,9.870000,9.859500,2615200
2020-08-11,10.200000,10.420000,9.700000,9.700000,9.689681,3236800
2020-08-12,10.020000,10.220000,9.620000,9.830000,9.819543,2473500
2020-08-13,9.750000,9.910000,9.530000,9.600000,9.589787,1902100
2020-08-14,9.450000,9.940000,9.390000,9.860000,9.849510,1562600
2020-08-17,9.860000,9.950000,9.520000,9.870000,9.859500,1554400
2020-08-18,9.620000,9.790000,9.440000,9.640000,9.629745,2673900
2020-08-19,9.790000,10.300000,9.670000,10.020000,10.009341,4365500
2020-08-20,9.870000,10.020000,9.660000,9.680000,9.669703,2971600
2020-08-21,9.640000,9.740000,9.010000,9.050000,9.040373,3309900
2020-08-24,9.340000,9.790000,9.130000,9.670000,9.659713,3322400
2020-08-25,9.870000,10.060000,9.670000,9.950000,9.939415,1685700
2020-08-26,9.900000,9.970000,9.510000,9.600000,9.589787,1683100
2020-08-27,9.680000,9.950000,9.360000,9.900000,9.889468,2208800
2020-08-28,9.870000,10.030000,9.700000,9.980000,9.969382,1922600
2020-08-31,9.910000,9.990000,9.650000,9.730000,9.719648,2834800
2020-09-01,9.640000,10.300000,9.530000,10.170000,10.159181,3090400
2020-09-02,10.060000,10.080000,9.280000,9.340000,9.330064,5242300
2020-09-03,9.240000,9.710000,9.200000,9.400000,9.389999,2427600
2020-09-04,9.570000,9.740000,9.200000,9.510000,9.499884,1766500
2020-09-08,9.110000,9.150000,8.550000,8.740000,8.730702,2203600
2020-09-09,8.990000,9.220000,8.720000,9.140000,9.130277,1538900
2020-09-10,9.050000,9.090000,8.160000,8.170000,8.161308,2890000
2020-09-11,8.210000,8.370000,7.870000,8.010000,8.001479,1992400
2020-09-14,8.240000,8.660000,7.980000,8.530000,8.520926,2269400
2020-09-15,8.670000,8.920000,8.470000,8.670000,8.660777,2091900
2020-09-16,8.810000,9.390000,8.730000,9.050000,9.040373,2961800
2020-09-17,8.840000,9.080000,8.610000,9.020000,9.010405,2774600
2020-09-18,9.040000,9.120000,8.580000,8.850000,8.840586,4559700
2020-09-21,8.490000,8.600000,7.990000,8.540000,8.530915,3000700
2020-09-22,8.890000,9.410000,8.700000,8.820000,8.810616,2593500
2020-09-23,8.880000,8.900000,8.070000,8.070000,8.061415,2520200
2020-09-24,8.000000,8.340000,7.840000,8.080000,8.071404,2322000
2020-09-25,7.930000,8.140000,7.710000,8.080000,8.071404,3826100
2020-09-28,8.320000,8.740000,8.160000,8.580000,8.570872,2664400
2020-09-29,8.540000,8.570000,7.870000,8.340000,8.331128,2316400
2020-09-30,8.330000,8.660000,8.210000,8.260000,8.251213,2608400
2020-10-01,8.070000,8.190000,7.820000,8.100000,8.091383,3008800
2020-10-02,7.740000,8.420000,7.740000,8.290000,8.281181,3157000
2020-10-05,8.520000,8.860000,8.460000,8.800000,8.790639,2551600
2020-10-06,9.000000,9.200000,8.310000,8.320000,8.311149,2446900
2020-10-07,8.440000,8.780000,8.300000,8.730000,8.720713,2352200
2020-10-08,8.850000,9.400000,8.680000,9.400000,9.389999,2477800
2020-10-09,9.450000,9.560000,9.060000,9.140000,9.130277,2291100
2020-10-12,9.030000,9.050000,8.610000,8.950000,8.940478,1870600
2020-10-13,8.930000,9.060000,8.660000,8.770000,8.760671,1634400
2020-10-14,8.870000,9.400000,8.740000,8.940000,8.930489,3778700
2020-10-15,8.690000,9.090000,8.440000,9.060000,9.050363,2337800
2020-10-16,8.950000,9.070000,8.590000,8.590000,8.580862,1590300
2020-10-19,8.660000,8.760000,8.160000,8.160000,8.151320,2430800
2020-10-20,8.250000,8.780000,8.130000,8.570000,8.560883,2698500
2020-10-21,8.420000,8.650000,8.230000,8.390000,8.381075,2595400
2020-10-22,8.460000,8.920000,8.370000,8.870000,8.860564,3400500
2020-10-23,8.970000,9.150000,8.740000,8.990000,8.980436,1641900
2020-10-26,8.740000,8.740000,8.100000,8.180000,8.171298,2699300
2020-10-27,8.120000,8.260000,8.040000,8.160000,8.151320,2309900
